ProductID,ProductName,Price,CategoryID,Class,ModifyDate,Resistant,IsAllergic,VitalityDays
1,"FLOUR - WHOLE WHEAT",74.30,3,MEDIUM,2018-02-16,DURABLE,UNKNOWN,0
2,"COOKIE CHOCOLATE CHIP WITH",91.23,3,MEDIUM,2017-02-12,UNKNOWN,UNKNOWN,0
3,"ONIONS - CIPPOLINI",9.14,9,MEDIUM,2018-03-15,WEAK,FALSE,111
4,"SAUCE - GRAVY, AU JUS, MIX",54.31,9,MEDIUM,2017-07-16,DURABLE,UNKNOWN,0
5,"ARTICHOKES - JERUSALEM",65.48,2,LOW,2017-08-16,DURABLE,TRUE,27
6,"WINE - MAGNOTTA - CAB SAUV",79.72,8,HIGH,2017-05-25,UNKNOWN,UNKNOWN,0
7,"TABLE CLOTH - 53X69 COLOUR",31.84,9,MEDIUM,2017-02-24,DURABLE,FALSE,0
8,"HALIBUT - STEAKS",89.86,5,MEDIUM,2018-03-24,UNKNOWN,TRUE,108
9,"RABBIT - WHOLE",84.42,11,MEDIUM,2017-06-17,DURABLE,UNKNOWN,0
10,"SCAMPI TAIL",95.10,4,LOW,2017-07-30,WEAK,TRUE,105
11,"GARBAGE BAGS - CLEAR",6.29,9,LOW,2017-01-05,DURABLE,TRUE,67
12,"EZY CHANGE MOPHANDLE",49.34,4,MEDIUM,2017-11-01,DURABLE,TRUE,0
13,"WATER, TAP",28.22,11,LOW,2017-01-16,DURABLE,FALSE,69
14,"BEEF - TOP SIRLOIN",3.33,7,MEDIUM,2017-02-26,DURABLE,TRUE,0
15,"SPOON - SOUP, PLASTIC",32.44,1,LOW,2017-03-03,WEAK,TRUE,0
16,"KELLOGS SPECIAL K CEREAL",54.72,2,LOW,2017-01-23,DURABLE,TRUE,0
17,"WINE - WHITE, MOSEL GOLD",43.92,10,MEDIUM,2017-03-01,UNKNOWN,UNKNOWN,0
18,"LAMB - WHOLE, FRESH",23.40,10,MEDIUM,2017-12-19,UNKNOWN,FALSE,0
19,"TEA - EARL GREY",22.56,3,MEDIUM,2017-06-14,WEAK,TRUE,94
20,"CHOCOLATE - FEATHERS",85.90,3,LOW,2017-07-21,DURABLE,TRUE,0
21,KIWI,46.73,7,HIGH,2018-05-09,DURABLE,UNKNOWN,0
22,"RICE - JASMINE SENTED",27.90,6,MEDIUM,2017-05-09,WEAK,UNKNOWN,48
23,"CRAB - IMITATION FLAKES",79.02,11,MEDIUM,2017-08-19,DURABLE,TRUE,0
24,"BEER - ALEXANDER KIETHS, PALE ALE",89.04,3,MEDIUM,2017-05-23,DURABLE,TRUE,65
25,"SOUPCONTFOAM16OZ 116CON",80.77,10,HIGH,2017-04-09,DURABLE,TRUE,0
26,"SQUID U5 - THAILAND",33.78,11,MEDIUM,2018-03-26,WEAK,FALSE,10
27,"CHOCOLATE - COMPOUND COATING",17.17,1,MEDIUM,2017-10-29,UNKNOWN,UNKNOWN,86
28,"SOBE - TROPICAL ENERGY",12.32,9,HIGH,2017-10-25,DURABLE,TRUE,0
29,"SPINACH - BABY",33.59,7,LOW,2017-08-06,DURABLE,TRUE,50
30,"CHEESE - BRIE, TRIPLE CREME",67.90,6,LOW,2018-03-21,WEAK,UNKNOWN,72
31,"YEAST DRY - FERMIPAN",73.99,2,MEDIUM,2017-04-17,DURABLE,FALSE,0
32,"LETTUCE - TREVISO",96.41,3,HIGH,2017-01-09,DURABLE,TRUE,0
33,"BEANS - WAX",45.56,10,MEDIUM,2017-02-01,WEAK,TRUE,0
34,"MUSTARD PREPARED",43.35,6,MEDIUM,2017-09-21,WEAK,UNKNOWN,7
35,"WATER - MINERAL, NATURAL",15.72,6,LOW,2017-10-01,DURABLE,TRUE,97
36,"TABLE CLOTH 54X72 WHITE",69.26,9,LOW,2018-03-04,DURABLE,TRUE,0
37,"NUT - PISTACHIO, SHELLED",80.32,7,LOW,2017-02-27,UNKNOWN,FALSE,0
38,"SAGE - GROUND",81.66,6,HIGH,2017-09-26,WEAK,FALSE,0
39,"DRIED FIGS",75.21,11,MEDIUM,2017-08-04,WEAK,FALSE,120
40,"COCKTAIL NAPKIN BLUE",8.94,8,LOW,2017-06-28,UNKNOWN,UNKNOWN,0
41,"CUP - 6OZ, FOAM",81.72,7,MEDIUM,2018-03-15,UNKNOWN,TRUE,0
42,"BREAD - RAISIN WALNUT OVAL",81.05,1,HIGH,2018-04-01,WEAK,FALSE,0
43,"SPONGE CAKE MIX - CHOCOLATE",16.40,9,HIGH,2017-08-12,WEAK,TRUE,96
44,"WINE - WHITE, COLUBIA CRESH",48.60,7,HIGH,2018-04-09,DURABLE,TRUE,0
45,"BEEF - GROUND MEDIUM",79.53,4,MEDIUM,2018-03-23,WEAK,TRUE,0
46,LAMBCASING,86.79,9,HIGH,2017-07-12,DURABLE,FALSE,0
47,"THYME - LEMON, FRESH",47.13,9,HIGH,2018-02-16,WEAK,FALSE,0
48,"PECAN RAISIN - TARTS",60.36,7,LOW,2017-11-26,UNKNOWN,UNKNOWN,114
49,"BACARDI BREEZER - TROPICAL",61.43,8,HIGH,2017-01-03,DURABLE,FALSE,0
50,"PORK - KIDNEY",43.29,7,HIGH,2018-04-21,WEAK,TRUE,0
