ProductName,CategoryName
"FLOUR - WHOLE WHEAT",CEREALS
"COOKIE CHOCOLATE CHIP WITH",CEREALS
"ONIONS - CIPPOLINI",POULTRY
"SAUCE - GRAVY, AU JUS, MIX",POULTRY
"ARTICHOKES - JERUSALEM","SHELL FISH"
"WINE - MAGNOTTA - CAB SAUV",GRAIN
"TABLE CLOTH - 53X69 COLOUR",POULTRY
"HALIBUT - STEAKS",BEVERAGES
"RABBIT - WHOLE",PRODUCE
"SCAMPI TAIL",DAIRY
"GARBAGE BAGS - CLEAR",POULTRY
"EZY CHANGE MOPHANDLE",DAIRY
"WATER, TAP",PRODUCE
"BEEF - TOP SIRLOIN",MEAT
"SPOON - SOUP, PLASTIC",CONFECTIONS
"KELLOGS SPECIAL K CEREAL","SHELL FISH"
"WINE - WHITE, MOSEL GOLD",SNAILS
"LAMB - WHOLE, FRESH",SNAILS
"TEA - EARL GREY",CEREALS
"CHOCOLATE - FEATHERS",CEREALS
KIWI,MEAT
"RICE - JASMINE SENTED",SEAFOOD
"CRAB - IMITATION FLAKES",PRODUCE
"BEER - ALEXANDER KIETHS, PALE ALE",CEREALS
"SOUPCONTFOAM16OZ 116CON",SNAILS
"SQUID U5 - THAILAND",PRODUCE
"CHOCOLATE - COMPOUND COATING",CONFECTIONS
"SOBE - TROPICAL ENERGY",POULTRY
"SPINACH - BABY",MEAT
"CHEESE - BRIE, TRIPLE CREME",SEAFOOD
"YEAST DRY - FERMIPAN","SHELL FISH"
"LETTUCE - TREVISO",CEREALS
"BEANS - WAX",SNAILS
"MUSTARD PREPARED",SEAFOOD
"WATER - MINERAL, NATURAL",SEAFOOD
"TABLE CLOTH 54X72 WHITE",POULTRY
"NUT - PISTACHIO, SHELLED",MEAT
"SAGE - GROUND",SEAFOOD
"DRIED FIGS",PRODUCE
"COCKTAIL NAPKIN BLUE",GRAIN
"CUP - 6OZ, FOAM",MEAT
"BREAD - RAISIN WALNUT OVAL",CONFECTIONS
"SPONGE CAKE MIX - CHOCOLATE",POULTRY
"WINE - WHITE, COLUBIA CRESH",MEAT
"BEEF - GROUND MEDIUM",DAIRY
